name,ring,quadrant,isNew,Goal,status,Beneficio,Impacto
Cursos específicos en University,Trial,Techniques,#REF!,Mejorar el conocimiento de los equipos.,,"Ampliar perspectiva, mejores prácticas. actualización continua",Cultura técnica
Formación en arquitectura a lideres tecnicos,Trial,Techniques,TRUE,Ampliar el conocimiento de los LT,,Preparación para próximos retos de clientes.,Investigación y vigilancia tecnológica
Charlas internas,Trial,Platforms,TRUE,Compartir conocimiento entre equipos.,new,Fortalecimiento de comunidad técnica.,Cultura de colaboración
Chaos Engineering (Litmus/Gremlin),Assess,Techniques,TRUE,Validar resiliencia bajo fallas simuladas.,new,Arquitecturas más confiables,Metodología y alineación
Performance-Driven Development,Assess,Techniques,TRUE,Integrar performance como criterio de diseño desde el inicio.,new,Aplicaciones más rápidas y eficientes.,Menos reprocesos por problemas de escalabilidad.
Capacitaciones genéricas y teóricas sin aplicación práctica,Hold,Techniques,TRUE,Reemplazar teoría pura por práctica aplicada.,new,"Formación más efectiva, resultados visibles. foco en impacto real",Cultura
Monitoreo manual con logs dispersos,Hold,Techniques,TRUE,Migrar a pruebas automatizadas.,new,Resultados repetibles y confiables.,Procesos y lineamientos
Falta de documentación de aprendizajes,Hold,Techniques,FALSE,Retener el conocimiento en la empresa.,,"Historial técnico, onboarding más fácil.",Procesos y lineamientos
Revisiones manuales extensas sin checklist,Hold,Techniques,FALSE,Eliminar una practica obsoleta,,Evita el riesgo de errores y subjetividad.,
Prometheus y Grafana,Adopt,Tools,#REF!,Centralizar métricas de microservicios.,new,"Diagnóstico rápido, mas metricas e indicadores. confiabilidad y visibilidad",Procesos y lineamientos
Digma (observabilidad en desarrollo),Adopt,Tools,#REF!,Detectar problemas de performance en fase dev. Prevenir de fallas,new,Bugs corregidos antes de llegar a producción.,Procesos y lineamientos
Renovate Bot,Trial,Tools,#REF!,Automatizar actualizaciones de dependencias.,new,"Menos vulnerabilidades, librerías al día. seguridad y sostenibilidad.",Procesos y lineamientos
Fitness functions con ArchUnit,Trial,Tools,TRUE,Automatizar validaciones de arquitectura y lineamientos tecnicos,new,Garantiza consistencia en toda la base de código.,
GitLab Dependency Scanning,Trial,Tools,TRUE,Detectar vulnerabilidades conocidas (CVEs) en dependencias.,new,Seguridad proactiva en el pipeline.,
AI Code Review Assistants,,,,Aumentar proactividad en revisiones técnicas.,,Detección temprana de malas prácticas y errores.,
OpenRewrite (refactor automatizado en Java),Trial,Tools,FALSE,Apoyar migraciones de versiones y reducción de deuda técnica.,moved in,"Agilidad en upgrades (Java 21, 25).",
OpenTelemetry + Grafana Tempo,Assess,Tools,TRUE,Observabilidad de requests end-to-end.,new,Diagnóstico de microservicios distribuido. confiabilidad técnica.,Plataforma y herramientas
Snyk,Assess,Tools,TRUE,Detectar y sugerir remediaciones en dependencias vulnerables.,new,Corrección automática en algunos casos.,
Semgrep,Assess,Tools,TRUE,Definir reglas de seguridad personalizadas.,new,Detecta malas prácticas específicas de la empresa.,
Checklists manuales en Word/Excel,Hold,Tools,FALSE,"Migrar a checklists automatizados (Sonar, ArchUnit).",no change,Menos dependencia de revisiones subjetivas.,
